S.No.,PRQ No.,"Created
Date","Created
By","Approved
Date","Approved
By","Creation
Status","Processing
Status",PRQ Remarks,Item Code,Item Name,UOM,"Required
Date",Department,Preferred Vendor,Preferred Manufacturer,Item Remarks,"Auto
PRQ(Y/N)",Parent PO,"Required
Qty","PO
Incl. Qty"
1,P/AMPU/26/3854,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,STOCK ALREADY RECEIVED,RMN150,Ramiven 150mg Tab (7's),Tablet,08-08-2026,,MODEL ENTERPRISES PRIVATE LIMITED,,CONFIRM FROM IP JAI,No,,4,4
2,P/AMPU/26/3855,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,RES20,Restylane Skinboosters Vital Lidnocaine 1ml,Nos,08-08-2026,,CHATUR BHUJ & BROS,,,No,,3,3
3,P/AMPU/26/3856,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,Pfizer Ltd,MUC01,Mucaine Gel Syrup 200ml,Nos,08-08-2026,,A.C SURGIPHARMA PRIVATE LIMITED,,Pfizer Ltd,No,,20,0
4,P/AMPU/26/3857,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,Natco Pharma Limited,VNT400,Veenat 400mg Tab,Tablet,08-08-2026,,ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,,Natco Pharma Limited,No,,60,0
5,P/AMPU/26/3857,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,Natco Pharma Limited,VET100,Veenat 100mg Cap,(1.00 x Capsules),08-08-2026,,ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,,Natco Pharma Limited,No,,100,0
6,P/AMPU/26/3858,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,auto-generated,WOK0100,Wokadine 10% Solution 100ml,Bottle,08-08-2026,,Aggarwal Medical Agencies,,,No,,100,0
7,P/AMPU/26/3858,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,auto-generated,THP005,Trineurosol HP 5ml Injection,Vial,08-08-2026,,Aggarwal Medical Agencies,,,No,,15,0
8,P/AMPU/26/3859,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,Vulcan Lab,METH01,Methylene Blue 10ml Inj (Bluject),Nos,08-08-2026,,B J Madan & Co,,Vulcan Lab,No,,30,30
9,P/AMPU/26/3860,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,Priority items: Kryxana Film Coated 200mg Tab(21's),KRX200,Kryxana Film Coated 200mg Tab(21's),Strips,08-08-2026,,BAJAJ SALES AGENCY,,Priority items: Kryxana Film Coated 200mg Tab(21's),No,,2,0
10,P/AMPU/26/3861,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,"INTAS PHARMACEUTICAL-2
Priority items: Esentra 120mg Inj",EST120,Esentra 120mg Inj,Vial,08-08-2026,,Intas Pharmaceuticals Limited,,"INTAS PHARMACEUTICAL-2
Priority items: Esentra 120mg Inj",No,,5,0
11,P/AMPU/26/3862,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,AbbVie,VNX100,Venclexta 100mg Tab (1*4s),Nos,08-08-2026,,KAPBRO PHARMA PRIVATE LIMITED,,AbbVie,No,,21,0
12,P/AMPU/26/3863,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,SUN PHARMACEUTICAL INDUSTRIES LTD,TZE025,Trazine H Tab,Tablet,08-08-2026,,MODEL ENTERPRISES PRIVATE LIMITED,,SUN PHARMACEUTICAL INDUSTRIES LTD,No,,150,0
13,P/AMPU/26/3864,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,"Priority items: Darzalex 100mg/5ml Inj, Bevatas 400mg Inj",DRZ1000,Darzalex 100mg/5ml Inj,Vial,08-08-2026,,MODEL ENTERPRISES PRIVATE LIMITED,,"Priority items: Darzalex 100mg/5ml Inj, Bevatas 400mg Inj",No,,8,0
14,P/AMPU/26/3864,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,"Priority items: Darzalex 100mg/5ml Inj, Bevatas 400mg Inj",BVTS400,Bevatas 400mg Inj,Vial,08-08-2026,,MODEL ENTERPRISES PRIVATE LIMITED,,"Priority items: Darzalex 100mg/5ml Inj, Bevatas 400mg Inj",No,,2,0
15,P/AMPU/26/3864,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,"Priority items: Darzalex 100mg/5ml Inj, Bevatas 400mg Inj",CRP60,Cresp 60mcg Inj,Nos,08-08-2026,,MODEL ENTERPRISES PRIVATE LIMITED,,"Priority items: Darzalex 100mg/5ml Inj, Bevatas 400mg Inj",No,,2,0
16,P/AMPU/26/3865,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,Zydus Cadila Healthcare Ltd,XLN200,Xylocaine Viscous 200ml,Bottle,08-08-2026,,Novacare Healthcare Solutions Pvt Ltd,,Zydus Cadila Healthcare Ltd,No,,20,0
17,P/AMPU/26/3866,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,Reliance Life Sciences Pvt.Ltd,OMRL150,Omalirel 150mg Inj (OSS),Vial,08-08-2026,,PHARMAGIX,,Reliance Life Sciences Pvt.Ltd,No,,2,0
18,P/AMPU/26/3867,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,SAMARTH PHARMACEUTICALS,FLT100,Floricot 100mcg Tab,Tablet,08-08-2026,,PHARMAGIX,,SAMARTH PHARMACEUTICALS,No,,300,0
19,P/AMPU/26/3868,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,"Hetero Healthcare Ltd
Priority items: Carzomib 60mg Inj",CZMB60,Carzomib 60mg Inj,Vial,08-08-2026,,R.K Pharma,,"Hetero Healthcare Ltd
Priority items: Carzomib 60mg Inj",No,,2,0
20,P/AMPU/26/3869,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,"Zydus Cadila Healthcare Ltd
Priority items: Enfiera 500mg Inj, ANVIMO 240mg Tablet (1*10s)",ENE500,Enfiera 500mg Inj,Nos,08-08-2026,,R.K Pharma,,"Zydus Cadila Healthcare Ltd
Priority items: Enfiera 500mg Inj, ANVIMO 240mg Tablet (1*10s)",No,,7,0
21,P/AMPU/26/3869,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,"Zydus Cadila Healthcare Ltd
Priority items: Enfiera 500mg Inj, ANVIMO 240mg Tablet (1*10s)",ANO240,ANVIMO 240mg Tablet (1*10s),Nos,08-08-2026,,R.K Pharma,,"Zydus Cadila Healthcare Ltd
Priority items: Enfiera 500mg Inj, ANVIMO 240mg Tablet (1*10s)",No,,2,0
22,P/AMPU/26/3870,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Approved,In Process,auto-generated,SGN05,Shingrix Vaccine 0.5ml,Vial,08-08-2026,,Toasha Vaccines Southend,,,No,,3,0
23,P/AMPU/26/3871,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,GAR005,Gardasil 0.5ml PFS,Syringe,08-08-2026,,Toasha Vaccines Southend,,,No,,2,2
24,P/AMPU/26/3872,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,MXH150,Mexohar 150mg Cap 30's,Bottle,08-08-2026,,Sanjeevani Enterprises,,,No,,2,2
25,P/AMPU/26/3873,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,IMF500,Imfinzi 500mg Inj,Vial,08-08-2026,,KAPBRO PHARMA PRIVATE LIMITED,,,No,,2,2
26,P/AMPU/26/3873,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,TRA010,Trabec 1mg Inj,Vial,08-08-2026,,R.K Pharma,,,No,,1,1
27,P/AMPU/26/3873,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,PSG010,Phesgo 600mg/600mg Inj 10ml (OSS),Vial,08-08-2026,,Roche Products (India) Pvt Ltd,,,No,,1,1
28,P/AMPU/26/3873,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,UJRA100,Ujvira 100mg Inj,Vial,08-08-2026,,R.K Pharma,,,No,,2,2
29,AUTO/P/26/540,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3842,BKE600,Bekcystine 600mg (EF) Tab,Tablet,05-08-2026,,,,,Yes,SE/PH/2026-27/3842,400,400
30,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,CBT800,Combutol 800mg Tab(OSS),Tablet,03-08-2026,,,,,Yes,SE/PH/2026-27/3682,900,900
31,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,EDC10,Ezedoc 10mg Tab,(1.00 x Tablet),03-08-2026,,,,,Yes,SE/PH/2026-27/3682,400,400
32,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,BDM001,Budamate Neb 1mg Respules,Respules,03-08-2026,,,,,Yes,SE/PH/2026-27/3682,2240,2240
33,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,AKR004,AKuriT - 4,Tablet,03-08-2026,,,,,Yes,SE/PH/2026-27/3682,1200,1200
34,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,HUMR040,Huminsulin R 40IU/ml Inj 10ml,Vial,03-08-2026,,,,,Yes,SE/PH/2026-27/3682,200,200
35,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,DES105,Deskast Tab,Tablet,03-08-2026,,,,,Yes,SE/PH/2026-27/3682,450,450
36,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,RNXOS450,R-cinex 450mg Cap(OSS),Capsules,03-08-2026,,,,,Yes,SE/PH/2026-27/3682,360,360
37,AUTO/P/26/541,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3682,AKU010,Akurit-3 Tab (OSS),Tablet,03-08-2026,,,,,Yes,SE/PH/2026-27/3682,2400,2400
38,AUTO/P/26/542,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,In Process,Auto PRQ created by closing PO:SE/PH/2026-27/3741,ELI10,Eliwel 10mg Tab,Tablet,04-08-2026,,,,,Yes,SE/PH/2026-27/3741,1200,0
39,AUTO/P/26/542,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,In Process,Auto PRQ created by closing PO:SE/PH/2026-27/3741,ZPT100,Zeptol 100mg Tab,Tablet,04-08-2026,,,,,Yes,SE/PH/2026-27/3741,200,0
40,AUTO/P/26/542,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,In Process,Auto PRQ created by closing PO:SE/PH/2026-27/3741,PMX025,Primox 25mg Tab,Tablet,04-08-2026,,,,,Yes,SE/PH/2026-27/3741,200,0
41,AUTO/P/26/542,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,In Process,Auto PRQ created by closing PO:SE/PH/2026-27/3741,FOD020,Famocid 20mg Tab,Tablet,04-08-2026,,,,,Yes,SE/PH/2026-27/3741,420,0
42,AUTO/P/26/542,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,In Process,Auto PRQ created by closing PO:SE/PH/2026-27/3741,CFT05,Cafta Eye drops 5ml,Bottle,04-08-2026,,,,,Yes,SE/PH/2026-27/3741,10,0
43,AUTO/P/26/542,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,In Process,Auto PRQ created by closing PO:SE/PH/2026-27/3741,SILV240,Silverex Ionic Jar 240gm,Jar,04-08-2026,,,,,Yes,SE/PH/2026-27/3741,2,0
44,AUTO/P/26/543,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3647,AZS0200,A to Z NS Syrup 200ml,Bottle,03-08-2026,,,,,Yes,SE/PH/2026-27/3647,80,80
45,AUTO/P/26/543,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3647,VNG500,Vancogen 500mg Inj,(500.00 x Vial),03-08-2026,,,,,Yes,SE/PH/2026-27/3647,100,100
46,AUTO/P/26/543,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3647,UPR60,Uprise-D3 60k Cap,Nos,03-08-2026,,,,,Yes,SE/PH/2026-27/3647,480,480
47,AUTO/P/26/544,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3743,BQX100,Biqol Xero Mouth Spray 100ml,Bottle,04-08-2026,,,,,Yes,SE/PH/2026-27/3743,9,9
48,AUTO/P/26/545,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3740,LZD025,Lonazep MD 0.25mg Tab,Tablet,04-08-2026,,,,,Yes,SE/PH/2026-27/3740,4000,4000
49,AUTO/P/26/545,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3740,LCT050,Lacoset 50mg Tab,Tablet,04-08-2026,,,,,Yes,SE/PH/2026-27/3740,700,700
50,AUTO/P/26/545,08-08-2026,Rakesh Kumar,08-08-2026,Rakesh Kumar,Closed,Fully Processed,Auto PRQ created by closing PO:SE/PH/2026-27/3740,NFT100,Niftran 100mg Cap (10),Bottle,04-08-2026,,,,,Yes,SE/PH/2026-27/3740,170,170
51,P/AMPU/26/3874,08-08-2026,Braham  Datt,08-08-2026,Braham  Datt,Closed,Fully Processed,,RYD175,Rydgona 175mcg/3ml Respule,Nos,08-08-2026,,,,,No,,100,100
