S.No.,PRQ No.,"Created
Date","Created
By","Approved
Date","Approved
By","Creation
Status","Processing
Status",PRQ Remarks,Item Code,Item Name,UOM,"Required
Date",Department,Preferred Vendor,Preferred Manufacturer,Item Remarks,"Auto
PRQ(Y/N)",Parent PO,"Required
Qty","PO
Incl. Qty"
1,P/AMPU/26/4970,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Lifecare Biosciences Private Ltd,SGC355,Surgi Carb 355ml Solution,(1.00 x Bottle),19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED,,Lifecare Biosciences Private Ltd,No,,100.00,100.00
2,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,LOX030,Lox 2% Jelly 30gm,Tube,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,960.00,960.00
3,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,ARTCL50,Artacil 50mg/5ml Inj,Ampoule,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,500.00,500.00
4,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,NEO20,Neorof 1% 20ml Inj,Vial,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,400.00,400.00
5,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,RPI002,Ropin 2mg/ml Inj 20ml,(1.00 x Ampoule),19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,120.00,120.00
6,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,AWN025,Anawin 0.25% Inj 20ml,Vials,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,200.00,200.00
7,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,ROC050,Rocunium 50mg/5ml Inj,Vial,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,100.00,100.00
8,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,ANW020,Anawin 0.5% Injection 20ml,Vial,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,240.00,240.00
9,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,BPRP10,Bupregesic 10mg (10mcg/hr) transdermal Patch,Patches,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,20.00,20.00
10,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,EVT005,Evatocin 5IU/ml Inj,Ampoule,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,800.00,800.00
