S.No.,PO. No.,Vendor,"Creation
Date","Approved
Date","Creation
Status","Processing
Status","Item
Code","Item
Name","Purchase
UOM","Free
Item
Y/N","PRQ
No.","Required
Date","Delivery
Date","Expiry
Date Above",Manufacturer,Remarks,"Internal
Remarks","Quotation
Ref.","Rate Contract
Ref.","Offer 
Taxable
Y/N","Tax
Name","PO
Qty.","Item
Rate",Item Total,"Received
Qty.",MRP,"MRP Tax
Incl.(Y/N)","Vendor
Disc.","Manf.
Disc.","Disc.
Amt.","Tax
Amt.","Grand
Total"
1,SE/PH/2026-27/5234,Karun Enterprises,19/09/2026,19/09/2026,Approved,Pending,ZPD010,Zolpid 10mg Tab,(1.00 x Tablet),No,P/AMPU/26/4958,18/09/2026,19/09/2026,19/09/2026,Micro Labs Limited,,,,,Yes,Inside State Purchase GST-5%,700.00,2.65,1855.00,0.00,8.93,Yes,0.00,0.00,0.00,92.75,1947.75
2,SE/PH/2026-27/5234,Karun Enterprises,19/09/2026,19/09/2026,Approved,Pending,MOXLX,Moxigram LX Eye Drop,Drop,No,P/AMPU/26/4958,18/09/2026,19/09/2026,19/09/2026,Micro Labs Limited,,,,,Yes,Inside State Purchase GST-5%,5.00,55.36,276.80,0.00,201.00,Yes,0.00,0.00,0.00,13.84,290.64
3,SE/PH/2026-27/5235,N M MEDIWAYS,19/09/2026,19/09/2026,Approved,Pending,CHR002,Chlorocol H Eye Ointment,Tube,No,P/AMPU/26/4960,18/09/2026,19/09/2026,19/09/2026,Java Labs,,,,,No,Inside State Purchase GST-5%,25.00,122.14,3053.50,0.00,153.75,Yes,5.00,0.00,152.68,145.04,3045.86
4,SE/PH/2026-27/5236,NEELKANTH PHARMACEUTICALS LLP,19/09/2026,19/09/2026,Approved,Pending,AVL002,Avil Inj 2ml,Ampoule,No,P/AMPU/26/4961,18/09/2026,19/09/2026,19/09/2026,Aventis Pharma Limited,,,,,Yes,Outside State Purchase GST-5%,600.00,4.71,2827.20,0.00,5.89,Yes,5.00,0.00,141.36,134.29,2820.13
5,SE/PH/2026-27/5237,Novacare Healthcare Solutions Private Limited(DELHI),19/09/2026,19/09/2026,Approved,Pending,AST006,Asthalin Inhaler,Canister,No,P/AMPU/26/4962,18/09/2026,19/09/2026,19/09/2026,Cipla Ltd,,,,,Yes,Outside State Purchase GST-5%,40.00,126.41,5056.40,0.00,126.41,Yes,5.00,0.00,252.82,240.18,5043.76
6,SE/PH/2026-27/5238,PHARMAGIX,19/09/2026,19/09/2026,Approved,Pending,SHL101,Shelcal CT Tab,Tablet,No,P/AMPU/26/4963,18/09/2026,19/09/2026,19/09/2026,Torrent Pharmaceuticals Limited,,,,,Yes,Inside State Purchase GST-5%,300.00,6.96,2089.50,0.00,24.53,Yes,5.00,0.00,104.48,99.25,2084.27
7,SE/PH/2026-27/5238,PHARMAGIX,19/09/2026,19/09/2026,Approved,Pending,MTR250,Mirator 0.25mg Tab,Tablet,No,P/AMPU/26/4963,18/09/2026,19/09/2026,19/09/2026,Torrent Pharmaceuticals Limited,,,,,Yes,Inside State Purchase GST-5%,200.00,4.81,961.60,0.00,11.61,Yes,5.00,0.00,48.08,45.68,959.20
8,SE/PH/2026-27/5238,PHARMAGIX,19/09/2026,19/09/2026,Approved,Pending,AMF040,Amifru 40mg Tab,Tablet,No,P/AMPU/26/4963,18/09/2026,19/09/2026,19/09/2026,Torrent Pharmaceuticals Limited,,,,,Yes,Inside State Purchase GST-5%,200.00,0.80,160.60,0.00,1.12,Yes,5.00,0.00,8.03,7.63,160.20
9,SE/PH/2026-27/5239,R.K Pharma,19/09/2026,19/09/2026,Approved,Pending,CTR002,C-Tri 2gm inj,Vial,No,P/AMPU/26/4964,18/09/2026,19/09/2026,19/09/2026,Zuventus Healthcare Ltd,,,,,Yes,Outside State Purchase GST-5%,45.00,48.00,2160.00,0.00,145.01,Yes,5.00,0.00,108.00,102.60,2154.60
10,SE/PH/2026-27/5239,R.K Pharma,19/09/2026,19/09/2026,Approved,Pending,ZIN050,Zinconia 50mg Tab,Tablet,No,P/AMPU/26/4964,18/09/2026,19/09/2026,19/09/2026,Zuventus Healthcare Ltd,,,,,Yes,Outside State Purchase GST-5%,200.00,4.13,825.40,0.00,6.84,Yes,5.00,0.00,41.27,39.21,823.34
11,SE/PH/2026-27/5240,R.K Pharma,19/09/2026,19/09/2026,Approved,Pending,ZYC200,Zycel 200mg Cap,Capsule,No,P/AMPU/26/4965,18/09/2026,19/09/2026,19/09/2026,Zydus Cadila Healthcare Ltd,,,,,Yes,Outside State Purchase GST-5%,200.00,22.08,4415.20,0.00,34.78,Yes,5.00,0.00,220.76,209.72,4404.16
12,SE/PH/2026-27/5240,R.K Pharma,19/09/2026,19/09/2026,Approved,Pending,ZMR50,Zymurine 50mg Tab,(1.00 x Tablet),No,P/AMPU/26/4965,18/09/2026,19/09/2026,19/09/2026,Zydus Cadila Healthcare Ltd,,,,,Yes,Outside State Purchase GST-5%,200.00,1.14,228.00,0.00,11.57,Yes,5.00,0.00,11.40,10.83,227.43
13,SE/PH/2026-27/5241,UNAG PHARMA PRIVATE LIMITED,19/09/2026,19/09/2026,Approved,Pending,BUD09,Budez OD 9mg Bottle (1*15),Nos,No,P/AMPU/26/4967,18/09/2026,19/09/2026,19/09/2026,SUN PHARMACEUTICAL INDUSTRIES LTD,,,,,Yes,Inside State Purchase GST-5%,4.00,667.43,2669.72,0.00,876.00,Yes,5.00,0.00,133.49,126.81,2663.04
14,SE/PH/2026-27/5242,UNITED BIOTECH (P) LTD,19/09/2026,19/09/2026,Closed,Processed,DPRS10,D-Pressin 10mcg Nasal Spray,Canister,No,P/AMPU/26/4968,18/09/2026,19/09/2026,19/09/2026,UNITED BIO-TECH,,,,,Yes,Outside State Purchase GST-5%,4.00,584.04,2336.16,4.00,1644.00,Yes,0.00,0.00,0.00,116.81,2452.97
