GRN No.,Invoice No,DCNo,"Received 
Date",Item Code,Item Name,HSN Code,Batch No,"Expiry
Date",Manuf. Date,"Purchase 
UOM",Qty.,MRP,MRP I/E,Free Item,Vendor,GSTIN,"GRN 
Status",Store Name,"GST 
UOM"
SE/PH/GRN/26/6655,S3-26-16039,,19/09/2026,CNB125,CNB 12.5mg Tab,30049099,141752^4RG08026A,31/07/2028,01/08/2026,Nos,500.0,9.5,I,No,BAJAJ SALES AGENCY,07AHOPB9208N1ZX,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6660,MD/26-27/29854,,19/09/2026,PST667,Phostat 667mg Tab,30049086,141836^SB00581A,31/07/2028,01/08/2026,Tablet,300.0,3.96,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6661,MD/26-27/29732,,19/09/2026,GMB200,Gembin 200mg Inj,30049099,135319^26EGM01,30/04/2028,01/05/2026,Vial,60.0,1022.7,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6662,MD/26-27/29676,,19/09/2026,HEP050,Hepadot 50mg/5ml Inj,30019099,141755^IPTAA1504,30/04/2027,01/05/2025,Nos,100.0,52.23,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6663,MD/26-27/29565,,19/09/2026,MP006,6 MP 50mg Tab,30049049,141833^CWC1143,31/07/2028,01/08/2026,Tablet,100.0,5.63,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6663,MD/26-27/29565,,19/09/2026,DON050,Duxocin 50mg Inj,30049046,117914^BYB1137,31/03/2028,01/10/2025,Vial,10.0,311.3,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6663,MD/26-27/29565,,19/09/2026,GMB200,Gembin 200mg Inj,30049099,135319^26EGM01,30/04/2028,01/05/2026,Vial,10.0,1022.7,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6665,HADH48300004041,,19/09/2026,HLB150,Hemlibra 150mg/1ml Inj,30021500,133632^B0275B08,30/09/2027,10/10/2025,Vial,1.0,256825.0,I,No,Roche Products (India) Pvt Ltd,06AAACR2744K1ZD,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6666,DP02506,,19/09/2026,MLT003,Meloset 3mg Tab,30049099,141365^MPF261807,31/05/2028,01/06/2026,Tablet,500.0,6.562,I,No,Dinkar Pharmaceuticals,06CKTPK0152J1ZZ,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6667,DP02504,,19/09/2026,SML0100,Simyl MCT Oil 100ml,21069099,141841^0326G058,31/12/2027,01/07/2026,Bottle,50.0,360.0,I,No,Dinkar Pharmaceuticals,06CKTPK0152J1ZZ,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6668,G-261356,,19/09/2026,EYL002,Eylea 40mg/ml inj,30021099,139147^KT10KPS,31/08/2027,01/09/2025,Vial,1.0,29998.0,I,No,AMSHEE SALES,07AAHFA1017E1Z4,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6669,T26-27/09004,,19/09/2026,THYG25,Thymoglobuline 25mg/5ml Inj,30049099,141228^GW0717,30/09/2028,04/10/2025,Vial,2.0,28174.0,I,No,KOMAL AGENCIES,07AAAPK2268C1Z5,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6670,T26-27/09003,,19/09/2026,ADD3232,Addphos Sachet 3.2gm,30049099,137604^SM1G-26016,31/05/2028,01/06/2026,Sachet,225.0,24.38,I,No,KOMAL AGENCIES,07AAAPK2268C1Z5,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6671,011262,,19/09/2026,BRI180,Brillo EZ Tablet,30049099,141416^BFD0074,30/04/2028,01/05/2026,Nos,10.0,29.344,I,No,Local Purchase Pharmacy,*,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6672,ETVS26/11064,,19/09/2026,FLX05,Fluarix SH ( Trivalent ) PFS vaccines,30022024,141839^AFLUA954AG,30/06/2027,01/07/2026,Nos,200.0,2499.0,I,No,Toasha Vaccines Southend,07AERPG0961M1Z3,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6673,SB-26-57507,,19/09/2026,OCV010,Oceva 10mg/ml Inj,30021500,141837^ZEH0192A,30/04/2029,01/05/2026,Vials,2.0,16875.0,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
